,SeasonID,TeamID,TeamCity,TeamName,PlayoffRankLag1,WinPCTLag1,DiffPointsPGLag1,PlayoffRankLag2,WinPCTLag2,DiffPointsPGLag2,PlayoffRankLag3,WinPCTLag3,DiffPointsPGLag3,isPlayoff
10,22014,1610612749,Milwaukee,Bucks,15.0,0.183,-8.2,8.0,0.463,-1.5,9.0,0.47,0.3,1
12,22014,1610612738,Boston,Celtics,12.0,0.305,-4.5,7.0,0.506,-0.2,4.0,0.591,2.5,1
15,22014,1610612751,Brooklyn,Nets,6.0,0.537,-1.0,4.0,0.598,1.8,12.0,0.333,-6.0,1
16,22014,1610612754,Indiana,Pacers,1.0,0.683,4.4,3.0,0.605,4.0,3.0,0.636,3.3,0
18,22014,1610612748,Miami,Heat,2.0,0.659,4.8,1.0,0.805,7.9,2.0,0.697,6.0,0
21,22014,1610612766,Charlotte,Hornets,7.0,0.524,-0.2,14.0,0.256,-9.2,15.0,0.106,-13.9,0
23,22014,1610612765,Detroit,Pistons,11.0,0.354,-3.7,11.0,0.354,-4.0,10.0,0.379,-4.8,0
24,22014,1610612753,Orlando,Magic,13.0,0.28,-5.4,15.0,0.244,-7.0,6.0,0.561,0.8,0
27,22014,1610612755,Philadelphia,76ers,14.0,0.232,-10.5,9.0,0.415,-3.3,8.0,0.53,4.2,0
29,22014,1610612752,New York,Knicks,9.0,0.451,-0.8,2.0,0.659,4.2,7.0,0.545,3.2,0
1,22015,1610612739,Cleveland,Cavaliers,2.0,0.646,4.5,10.0,0.402,-3.3,13.0,0.293,-4.7,1
3,22015,1610612761,Toronto,Raptors,4.0,0.598,3.1,3.0,0.585,3.2,10.0,0.415,-1.5,1
4,22015,1610612748,Miami,Heat,10.0,0.451,-2.6,2.0,0.659,4.8,1.0,0.805,7.9,1
6,22015,1610612737,Atlanta,Hawks,1.0,0.732,5.4,8.0,0.463,-0.5,6.0,0.537,0.4,1
8,22015,1610612738,Boston,Celtics,7.0,0.488,0.2,12.0,0.305,-4.5,7.0,0.506,-0.2,1
10,22015,1610612766,Charlotte,Hornets,11.0,0.402,-3.2,7.0,0.524,-0.2,14.0,0.256,-9.2,1
12,22015,1610612754,Indiana,Pacers,9.0,0.463,0.3,1.0,0.683,4.4,3.0,0.605,4.0,1
14,22015,1610612765,Detroit,Pistons,12.0,0.39,-1.0,11.0,0.354,-3.7,11.0,0.354,-4.0,1
16,22015,1610612741,Chicago,Bulls,3.0,0.61,3.0,4.0,0.585,1.9,5.0,0.549,0.3,0
19,22015,1610612764,Washington,Wizards,5.0,0.561,0.7,5.0,0.537,1.3,12.0,0.354,-2.5,0
21,22015,1610612753,Orlando,Magic,13.0,0.305,-5.7,13.0,0.28,-5.4,15.0,0.244,-7.0,0
22,22015,1610612749,Milwaukee,Bucks,6.0,0.5,0.4,15.0,0.183,-8.2,8.0,0.463,-1.5,0
24,22015,1610612752,New York,Knicks,15.0,0.207,-9.3,9.0,0.451,-0.8,2.0,0.659,4.2,0
27,22015,1610612751,Brooklyn,Nets,8.0,0.463,-2.9,6.0,0.537,-1.0,4.0,0.598,1.8,0
29,22015,1610612755,Philadelphia,76ers,14.0,0.22,-9.0,14.0,0.232,-10.5,9.0,0.415,-3.3,0
0,22016,1610612738,Boston,Celtics,5.0,0.585,3.2,7.0,0.488,0.2,12.0,0.305,-4.5,1
2,22016,1610612739,Cleveland,Cavaliers,1.0,0.695,6.0,2.0,0.646,4.5,10.0,0.402,-3.3,1
5,22016,1610612761,Toronto,Raptors,2.0,0.683,4.5,4.0,0.598,3.1,3.0,0.585,3.2,1
7,22016,1610612764,Washington,Wizards,10.0,0.5,-0.5,5.0,0.561,0.7,5.0,0.537,1.3,1
8,22016,1610612737,Atlanta,Hawks,4.0,0.585,3.6,1.0,0.732,5.4,8.0,0.463,-0.5,1
