,SeasonID,TeamID,PlayoffRankLag1,WinPCTLag1,DiffPointsPGLag1,PlayoffRankLag2,WinPCTLag2,DiffPointsPGLag2,PlayoffRankLag3,WinPCTLag3,DiffPointsPGLag3,PlayoffRankLag4,WinPCTLag4,DiffPointsPGLag4,isPlayoff
149,2012,1610612756,10.0,0.5,-0.2,10.0,0.488,-0.9,3.0,0.659,4.9,9.0,0.561,1.9,0
150,2013,1610612759,2.0,0.707,6.4,1.0,0.758,7.2,1.0,0.744,5.7,7.0,0.61,5.1,1
151,2013,1610612754,3.0,0.605,4.0,3.0,0.636,3.3,8.0,0.451,-1.1,10.0,0.39,-3.0,1
152,2013,1610612748,1.0,0.805,7.9,2.0,0.697,6.0,2.0,0.707,7.5,5.0,0.573,2.3,1
153,2013,1610612760,1.0,0.732,9.2,2.0,0.712,6.1,4.0,0.671,3.8,8.0,0.61,3.5,1
154,2013,1610612746,4.0,0.683,6.5,5.0,0.606,2.6,13.0,0.39,-3.1,12.0,0.354,-6.4,1
155,2013,1610612761,10.0,0.415,-1.5,11.0,0.348,-3.3,14.0,0.268,-6.3,9.0,0.488,-1.8,1
156,2013,1610612741,5.0,0.549,0.3,1.0,0.758,8.2,1.0,0.756,7.3,8.0,0.5,-1.6,1
157,2013,1610612745,8.0,0.549,3.5,9.0,0.515,0.2,9.0,0.524,2.2,9.0,0.512,-0.4,1
158,2013,1610612764,12.0,0.354,-2.5,14.0,0.303,-4.8,13.0,0.28,-7.4,14.0,0.317,-4.8,1
159,2013,1610612757,11.0,0.402,-3.2,11.0,0.424,-0.6,6.0,0.585,1.5,6.0,0.61,3.3,1
160,2013,1610612744,6.0,0.573,0.9,13.0,0.348,-3.4,12.0,0.439,-2.3,13.0,0.317,-3.6,1
161,2013,1610612751,4.0,0.598,1.8,12.0,0.333,-6.0,12.0,0.293,-6.2,15.0,0.146,-9.1,1
162,2013,1610612766,14.0,0.256,-9.2,15.0,0.106,-13.9,10.0,0.415,-4.0,7.0,0.537,1.5,1
163,2013,1610612763,5.0,0.683,4.1,4.0,0.621,2.0,8.0,0.561,2.3,10.0,0.488,-1.5,1
164,2013,1610612737,6.0,0.537,0.4,5.0,0.606,3.4,5.0,0.537,-0.8,3.0,0.646,4.7,1
165,2013,1610612742,10.0,0.5,-0.6,7.0,0.545,1.0,3.0,0.695,4.2,2.0,0.671,2.7,1
166,2013,1610612752,2.0,0.659,4.2,7.0,0.545,3.2,6.0,0.512,0.8,11.0,0.354,-3.8,0
167,2013,1610612756,15.0,0.305,-6.5,10.0,0.5,-0.2,10.0,0.488,-0.9,3.0,0.659,4.9,0
168,2013,1610612739,13.0,0.293,-4.7,13.0,0.318,-7.2,15.0,0.232,-9.0,1.0,0.744,6.5,0
169,2013,1610612750,12.0,0.378,-2.4,12.0,0.394,-2.2,15.0,0.207,-6.6,15.0,0.183,-9.6,0
170,2013,1610612765,11.0,0.354,-4.0,10.0,0.379,-4.8,11.0,0.366,-3.6,12.0,0.329,-5.1,0
171,2013,1610612743,3.0,0.695,5.1,6.0,0.576,2.9,5.0,0.61,4.8,4.0,0.646,4.1,0
172,2013,1610612738,7.0,0.506,-0.2,4.0,0.591,2.5,3.0,0.683,5.4,4.0,0.61,3.7,0
173,2013,1610612740,14.0,0.329,-3.9,15.0,0.318,-3.8,7.0,0.561,0.9,11.0,0.451,-2.5,0
174,2013,1610612753,15.0,0.244,-7.0,6.0,0.561,0.8,4.0,0.634,5.5,2.0,0.72,7.5,0
175,2013,1610612758,13.0,0.341,-4.9,14.0,0.333,-5.7,14.0,0.293,-5.3,14.0,0.305,-4.4,0
176,2013,1610612747,7.0,0.549,1.2,3.0,0.621,1.4,2.0,0.695,6.1,1.0,0.695,4.7,0
177,2013,1610612755,9.0,0.415,-3.3,8.0,0.53,4.2,7.0,0.5,1.5,13.0,0.329,-3.9,0
178,2013,1610612762,9.0,0.524,-0.1,8.0,0.545,0.6,11.0,0.476,-1.8,5.0,0.646,5.3,0
179,2013,1610612749,8.0,0.463,-1.5,9.0,0.47,0.3,9.0,0.427,-0.8,6.0,0.561,1.7,0
180,2014,1610612737,8.0,0.463,-0.5,6.0,0.537,0.4,5.0,0.606,3.4,5.0,0.537,-0.8,1
181,2014,1610612744,6.0,0.622,4.8,6.0,0.573,0.9,13.0,0.348,-3.4,12.0,0.439,-2.3,1
182,2014,1610612745,4.0,0.659,4.6,8.0,0.549,3.5,9.0,0.515,0.2,9.0,0.524,2.2,1
183,2014,1610612739,10.0,0.402,-3.3,13.0,0.293,-4.7,13.0,0.318,-7.2,15.0,0.232,-9.0,1
184,2014,1610612741,4.0,0.585,1.9,5.0,0.549,0.3,1.0,0.758,8.2,1.0,0.756,7.3,1
185,2014,1610612746,3.0,0.695,7.0,4.0,0.683,6.5,5.0,0.606,2.6,13.0,0.39,-3.1,1
186,2014,1610612757,5.0,0.659,4.0,11.0,0.402,-3.2,11.0,0.424,-0.6,6.0,0.585,1.5,1
187,2014,1610612761,3.0,0.585,3.2,10.0,0.415,-1.5,11.0,0.348,-3.3,14.0,0.268,-6.3,1
188,2014,1610612763,7.0,0.61,1.6,5.0,0.683,4.1,4.0,0.621,2.0,8.0,0.561,2.3,1
189,2014,1610612764,5.0,0.537,1.3,12.0,0.354,-2.5,14.0,0.303,-4.8,13.0,0.28,-7.4,1
190,2014,1610612759,1.0,0.756,7.7,2.0,0.707,6.4,1.0,0.758,7.2,1.0,0.744,5.7,1
191,2014,1610612749,15.0,0.183,-8.2,8.0,0.463,-1.5,9.0,0.47,0.3,9.0,0.427,-0.8,1
192,2014,1610612738,12.0,0.305,-4.5,7.0,0.506,-0.2,4.0,0.591,2.5,3.0,0.683,5.4,1
193,2014,1610612742,8.0,0.598,2.4,10.0,0.5,-0.6,7.0,0.545,1.0,3.0,0.695,4.2,1
194,2014,1610612740,12.0,0.415,-2.7,14.0,0.329,-3.9,15.0,0.318,-3.8,7.0,0.561,0.9,1
195,2014,1610612751,6.0,0.537,-1.0,4.0,0.598,1.8,12.0,0.333,-6.0,12.0,0.293,-6.2,1
196,2014,1610612754,1.0,0.683,4.4,3.0,0.605,4.0,3.0,0.636,3.3,8.0,0.451,-1.1,0
197,2014,1610612760,2.0,0.72,6.3,1.0,0.732,9.2,2.0,0.712,6.1,4.0,0.671,3.8,0
198,2014,1610612748,2.0,0.659,4.8,1.0,0.805,7.9,2.0,0.697,6.0,2.0,0.707,7.5,0
199,2014,1610612756,9.0,0.585,2.6,15.0,0.305,-6.5,10.0,0.5,-0.2,10.0,0.488,-0.9,0
200,2014,1610612762,15.0,0.305,-7.2,9.0,0.524,-0.1,8.0,0.545,0.6,11.0,0.476,-1.8,0
201,2014,1610612766,7.0,0.524,-0.2,14.0,0.256,-9.2,15.0,0.106,-13.9,10.0,0.415,-4.0,0
202,2014,1610612765,11.0,0.354,-3.7,11.0,0.354,-4.0,10.0,0.379,-4.8,11.0,0.366,-3.6,0
203,2014,1610612743,11.0,0.439,-2.1,3.0,0.695,5.1,6.0,0.576,2.9,5.0,0.61,4.8,0
204,2014,1610612753,13.0,0.28,-5.4,15.0,0.244,-7.0,6.0,0.561,0.8,4.0,0.634,5.5,0
205,2014,1610612758,13.0,0.341,-2.9,13.0,0.341,-4.9,14.0,0.333,-5.7,14.0,0.293,-5.3,0
206,2014,1610612747,14.0,0.329,-6.3,7.0,0.549,1.2,3.0,0.621,1.4,2.0,0.695,6.1,0
207,2014,1610612755,14.0,0.232,-10.5,9.0,0.415,-3.3,8.0,0.53,4.2,7.0,0.5,1.5,0
208,2014,1610612752,9.0,0.451,-0.8,2.0,0.659,4.2,7.0,0.545,3.2,6.0,0.512,0.8,0
209,2014,1610612750,10.0,0.488,2.7,12.0,0.378,-2.4,12.0,0.394,-2.2,15.0,0.207,-6.6,0
210,2015,1610612744,1.0,0.817,10.1,6.0,0.622,4.8,6.0,0.573,0.9,13.0,0.348,-3.4,1
211,2015,1610612739,2.0,0.646,4.5,10.0,0.402,-3.3,13.0,0.293,-4.7,13.0,0.318,-7.2,1
212,2015,1610612759,6.0,0.671,6.2,1.0,0.756,7.7,2.0,0.707,6.4,1.0,0.758,7.2,1
213,2015,1610612761,4.0,0.598,3.1,3.0,0.585,3.2,10.0,0.415,-1.5,11.0,0.348,-3.3,1
214,2015,1610612748,10.0,0.451,-2.6,2.0,0.659,4.8,1.0,0.805,7.9,2.0,0.697,6.0,1
215,2015,1610612760,9.0,0.549,2.2,2.0,0.72,6.3,1.0,0.732,9.2,2.0,0.712,6.1,1
216,2015,1610612737,1.0,0.732,5.4,8.0,0.463,-0.5,6.0,0.537,0.4,5.0,0.606,3.4,1
217,2015,1610612746,3.0,0.683,6.6,3.0,0.695,7.0,4.0,0.683,6.5,5.0,0.606,2.6,1
