,SeasonID,TeamID,PlayoffRankLag1,WinPCTLag1,DiffPointsPGLag1,PlayoffRankLag2,WinPCTLag2,DiffPointsPGLag2,PlayoffRankLag3,WinPCTLag3,DiffPointsPGLag3,PlayoffRankLag4,WinPCTLag4,DiffPointsPGLag4,isPlayoff
125,2016,1610612760,3.0,0.671,7.3,9.0,0.549,2.2,2.0,0.72,6.3,1.0,0.732,9.2,1
126,2016,1610612763,7.0,0.512,-2.2,5.0,0.671,3.2,7.0,0.61,1.6,5.0,0.683,4.1,1
127,2016,1610612757,5.0,0.537,0.8,4.0,0.622,4.2,5.0,0.659,4.0,11.0,0.402,-3.2,1
128,2016,1610612743,11.0,0.402,-3.1,12.0,0.366,-3.5,11.0,0.439,-2.1,3.0,0.695,5.1,0
129,2016,1610612740,12.0,0.366,-3.8,8.0,0.549,0.8,12.0,0.415,-2.7,14.0,0.329,-3.9,0
130,2016,1610612742,6.0,0.512,-0.3,7.0,0.61,2.9,8.0,0.598,2.4,10.0,0.5,-0.6,0
131,2016,1610612758,10.0,0.402,-2.5,13.0,0.354,-3.7,13.0,0.341,-2.9,13.0,0.341,-4.9,0
132,2016,1610612750,13.0,0.354,-3.5,15.0,0.195,-8.8,10.0,0.488,2.7,12.0,0.378,-2.4,0
133,2016,1610612747,15.0,0.207,-9.6,14.0,0.256,-6.8,14.0,0.329,-6.3,7.0,0.549,1.2,0
134,2016,1610612756,14.0,0.28,-6.7,10.0,0.476,-0.9,9.0,0.585,2.6,15.0,0.305,-6.5,0
135,2017,1610612745,3.0,0.671,5.8,8.0,0.5,0.2,2.0,0.683,3.4,4.0,0.659,4.6,1
136,2017,1610612744,1.0,0.817,11.6,1.0,0.89,10.8,1.0,0.817,10.1,6.0,0.622,4.8,1
137,2017,1610612757,8.0,0.5,-0.5,5.0,0.537,0.8,4.0,0.622,4.2,5.0,0.659,4.0,1
138,2017,1610612760,6.0,0.573,0.8,3.0,0.671,7.3,9.0,0.549,2.2,2.0,0.72,6.3,1
139,2017,1610612762,5.0,0.622,3.9,9.0,0.488,1.8,11.0,0.463,0.2,15.0,0.305,-7.2,1
140,2017,1610612740,10.0,0.415,-2.1,12.0,0.366,-3.8,8.0,0.549,0.8,12.0,0.415,-2.7,1
141,2017,1610612759,2.0,0.744,7.2,2.0,0.817,10.6,6.0,0.671,6.2,1.0,0.756,7.7,1
142,2017,1610612750,13.0,0.378,-1.1,13.0,0.354,-3.5,15.0,0.195,-8.8,10.0,0.488,2.7,1
143,2017,1610612743,9.0,0.488,0.5,11.0,0.402,-3.1,12.0,0.366,-3.5,11.0,0.439,-2.1,0
144,2017,1610612746,4.0,0.622,4.3,4.0,0.646,4.3,3.0,0.683,6.6,3.0,0.695,7.0,0
145,2017,1610612747,14.0,0.317,-6.9,15.0,0.207,-9.6,14.0,0.256,-6.8,14.0,0.329,-6.3,0
146,2017,1610612758,12.0,0.39,-3.9,10.0,0.402,-2.5,13.0,0.354,-3.7,13.0,0.341,-2.9,0
147,2017,1610612742,11.0,0.402,-2.9,6.0,0.512,-0.3,7.0,0.61,2.9,8.0,0.598,2.4,0
148,2017,1610612763,7.0,0.524,0.5,7.0,0.512,-2.2,5.0,0.671,3.2,7.0,0.61,1.6,0
149,2017,1610612756,15.0,0.293,-5.6,14.0,0.28,-6.7,10.0,0.476,-0.9,9.0,0.585,2.6,0
150,2018,1610612744,2.0,0.707,6.0,1.0,0.817,11.6,1.0,0.89,10.8,1.0,0.817,10.1,1
151,2018,1610612743,9.0,0.561,1.5,9.0,0.488,0.5,11.0,0.402,-3.1,12.0,0.366,-3.5,1
152,2018,1610612757,3.0,0.598,2.6,8.0,0.5,-0.5,5.0,0.537,0.8,4.0,0.622,4.2,1
153,2018,1610612745,1.0,0.793,8.5,3.0,0.671,5.8,8.0,0.5,0.2,2.0,0.683,3.4,1
154,2018,1610612762,5.0,0.585,4.3,5.0,0.622,3.9,9.0,0.488,1.8,11.0,0.463,0.2,1
155,2018,1610612760,4.0,0.585,3.4,6.0,0.573,0.8,3.0,0.671,7.3,9.0,0.549,2.2,1
156,2018,1610612759,7.0,0.573,2.9,2.0,0.744,7.2,2.0,0.817,10.6,6.0,0.671,6.2,1
157,2018,1610612746,10.0,0.512,0.0,4.0,0.622,4.3,4.0,0.646,4.3,3.0,0.683,6.6,1
158,2018,1610612758,12.0,0.329,-7.0,12.0,0.39,-3.9,10.0,0.402,-2.5,13.0,0.354,-3.7,0
159,2018,1610612747,11.0,0.427,-1.5,14.0,0.317,-6.9,15.0,0.207,-9.6,14.0,0.256,-6.8,0
160,2018,1610612750,8.0,0.573,2.2,13.0,0.378,-1.1,13.0,0.354,-3.5,15.0,0.195,-8.8,0
161,2018,1610612763,14.0,0.268,-6.2,7.0,0.524,0.5,7.0,0.512,-2.2,5.0,0.671,3.2,0
162,2018,1610612740,6.0,0.585,1.3,10.0,0.415,-2.1,12.0,0.366,-3.8,8.0,0.549,0.8,0
163,2018,1610612742,13.0,0.293,-3.0,11.0,0.402,-2.9,6.0,0.512,-0.3,7.0,0.61,2.9,0
164,2018,1610612756,15.0,0.256,-9.4,15.0,0.293,-5.6,14.0,0.28,-6.7,10.0,0.476,-0.9,0
165,2019,1610612747,10.0,0.451,-1.7,11.0,0.427,-1.5,14.0,0.317,-6.9,15.0,0.207,-9.6,1
166,2019,1610612746,8.0,0.585,0.9,10.0,0.512,0.0,4.0,0.622,4.3,4.0,0.646,4.3,1
167,2019,1610612743,2.0,0.659,4.0,9.0,0.561,1.5,9.0,0.488,0.5,11.0,0.402,-3.1,1
168,2019,1610612745,4.0,0.646,4.8,1.0,0.793,8.5,3.0,0.671,5.8,8.0,0.5,0.2,1
169,2019,1610612760,6.0,0.598,3.4,4.0,0.585,3.4,6.0,0.573,0.8,3.0,0.671,7.3,1
170,2019,1610612762,5.0,0.61,5.3,5.0,0.585,4.3,5.0,0.622,3.9,9.0,0.488,1.8,1
171,2019,1610612742,14.0,0.402,-1.3,13.0,0.293,-3.0,11.0,0.402,-2.9,6.0,0.512,-0.3,1
172,2019,1610612757,3.0,0.646,4.2,3.0,0.598,2.6,8.0,0.5,-0.5,5.0,0.537,0.8,1
173,2019,1610612763,12.0,0.402,-2.6,14.0,0.268,-6.2,7.0,0.524,0.5,7.0,0.512,-2.2,0
174,2019,1610612756,15.0,0.232,-9.3,15.0,0.256,-9.4,15.0,0.293,-5.6,14.0,0.28,-6.7,0
175,2019,1610612759,7.0,0.585,1.7,7.0,0.573,2.9,2.0,0.744,7.2,2.0,0.817,10.6,0
176,2019,1610612758,9.0,0.476,-1.1,12.0,0.329,-7.0,12.0,0.39,-3.9,10.0,0.402,-2.5,0
177,2019,1610612740,13.0,0.402,-1.3,6.0,0.585,1.3,10.0,0.415,-2.1,12.0,0.366,-3.8,0
178,2019,1610612750,11.0,0.439,-1.5,8.0,0.573,2.2,13.0,0.378,-1.1,13.0,0.354,-3.5,0
179,2019,1610612744,1.0,0.695,6.5,2.0,0.707,6.0,1.0,0.817,11.6,1.0,0.89,10.8,0
180,2020,1610612762,6.0,0.611,2.5,5.0,0.61,5.3,5.0,0.585,4.3,5.0,0.622,3.9,1
181,2020,1610612756,10.0,0.466,0.2,15.0,0.232,-9.3,15.0,0.256,-9.4,15.0,0.293,-5.6,1
182,2020,1610612743,3.0,0.63,2.1,2.0,0.659,4.0,9.0,0.561,1.5,9.0,0.488,0.5,1
183,2020,1610612746,2.0,0.681,6.4,8.0,0.585,0.9,10.0,0.512,0.0,4.0,0.622,4.3,1
184,2020,1610612742,7.0,0.573,4.9,14.0,0.402,-1.3,13.0,0.293,-3.0,11.0,0.402,-2.9,1
185,2020,1610612757,8.0,0.473,-1.1,3.0,0.646,4.2,3.0,0.598,2.6,8.0,0.5,-0.5,1
186,2020,1610612747,1.0,0.732,5.8,10.0,0.451,-1.7,11.0,0.427,-1.5,14.0,0.317,-6.9,1
187,2020,1610612763,9.0,0.466,-1.1,12.0,0.402,-2.6,14.0,0.268,-6.2,7.0,0.524,0.5,1
188,2020,1610612744,15.0,0.231,-8.7,1.0,0.695,6.5,2.0,0.707,6.0,1.0,0.817,11.6,0
189,2020,1610612759,11.0,0.451,-1.1,7.0,0.585,1.7,7.0,0.573,2.9,2.0,0.744,7.2,0
190,2020,1610612740,13.0,0.417,-1.3,13.0,0.402,-1.3,6.0,0.585,1.3,10.0,0.415,-2.1,0
191,2020,1610612758,12.0,0.431,-2.0,9.0,0.476,-1.1,12.0,0.329,-7.0,12.0,0.39,-3.9,0
192,2020,1610612750,14.0,0.297,-4.3,11.0,0.439,-1.5,8.0,0.573,2.2,13.0,0.378,-1.1,0
193,2020,1610612760,5.0,0.611,2.0,6.0,0.598,3.4,4.0,0.585,3.4,6.0,0.573,0.8,0
194,2020,1610612745,4.0,0.611,3.0,4.0,0.646,4.8,1.0,0.793,8.5,3.0,0.671,5.8,0
195,2021,1610612756,2.0,0.708,5.8,10.0,0.466,0.2,15.0,0.232,-9.3,15.0,0.256,-9.4,1
196,2021,1610612763,8.0,0.528,1.0,9.0,0.466,-1.1,12.0,0.402,-2.6,14.0,0.268,-6.2,1
197,2021,1610612744,9.0,0.542,1.1,15.0,0.231,-8.7,1.0,0.695,6.5,2.0,0.707,6.0,1
198,2021,1610612742,5.0,0.583,2.3,7.0,0.573,4.9,14.0,0.402,-1.3,13.0,0.293,-3.0,1
199,2021,1610612762,1.0,0.722,9.3,6.0,0.611,2.5,5.0,0.61,5.3,5.0,0.585,4.3,1
200,2021,1610612743,3.0,0.653,4.9,3.0,0.63,2.1,2.0,0.659,4.0,9.0,0.561,1.5,1
201,2021,1610612750,13.0,0.319,-5.6,14.0,0.297,-4.3,11.0,0.439,-1.5,8.0,0.573,2.2,1
202,2021,1610612740,11.0,0.431,-0.3,13.0,0.417,-1.3,13.0,0.402,-1.3,6.0,0.585,1.3,1
203,2021,1610612746,4.0,0.653,6.2,2.0,0.681,6.4,8.0,0.585,0.9,10.0,0.512,0.0,0
204,2021,1610612759,10.0,0.458,-1.7,11.0,0.451,-1.1,7.0,0.585,1.7,7.0,0.573,2.9,0
205,2021,1610612747,7.0,0.583,2.8,1.0,0.732,5.8,10.0,0.451,-1.7,11.0,0.427,-1.5,0
206,2021,1610612758,12.0,0.431,-3.7,12.0,0.431,-2.0,9.0,0.476,-1.1,12.0,0.329,-7.0,0
207,2021,1610612757,6.0,0.583,1.8,8.0,0.473,-1.1,3.0,0.646,4.2,3.0,0.598,2.6,0
208,2021,1610612760,14.0,0.306,-10.6,5.0,0.611,2.0,6.0,0.598,3.4,4.0,0.585,3.4,0
209,2021,1610612745,15.0,0.236,-7.9,4.0,0.611,3.0,4.0,0.646,4.8,1.0,0.793,8.5,0
